category_ru,category_sr_latn,category_en,dish_ru,dish_sr_latn,dish_en,description_ru,description_sr_latn,description_en,price_rsd,weight_text,allergen_text,image_file,sort_order,visible
"Хачапури и горячие блюда","Hacapuri i topla jela","Khachapuri and hot dishes","Аджарский хачапури","Adzarski hacapuri","Adjarian khachapuri","Лодочка с сыром и яйцом.","Oblik camca sa jajetom.","Boat-shaped cheese bread with egg.",1120,,,"/media/menu/adzarski-hacapuri.jpg",10,yes
"Хачапури и горячие блюда","Hacapuri i topla jela","Khachapuri and hot dishes","Мегрельский хачапури","Megrelski hacapuri","Megrelian khachapuri","Круглый хачапури с сыром внутри и сверху.","Okrugli, sir unutra i odozgo.","Round cheese bread with cheese inside and on top.",1190,,,"/media/menu/megrelski-hacapuri.jpg",20,yes
"Хачапури и горячие блюда","Hacapuri i topla jela","Khachapuri and hot dishes","Оджахури с мясом","Adzahuri sa mesom","Ojakhuri with meat","Говядина, картофель, красная паприка, зелень.","Govedina, krompir, crvena paprika, zelenilo.","Beef, potatoes, red pepper and herbs.",1330,,,"/media/menu/adzahuri-sa-mesom.jpg",30,yes
"Хачапури и горячие блюда","Hacapuri i topla jela","Khachapuri and hot dishes","Чкмерули","Ckmeruli","Chkmeruli","Куриное мясо без кости в сливочно-чесночном соусе.","Pilece meso bez kosti u kremasto-belom sosu sa belim lukom.","Boneless chicken in creamy garlic sauce.",1120,,,"/media/menu/ckmeruli.jpg",40,yes
"Соусы","Sosevi","Sauces","Сацебели","Sacebeli","Satsebeli","Томатная основа, специи, зелень.","Paradajz osnova, zacini, zelenilo.","Tomato base, spices and herbs.",210,,,"/media/menu/sacebeli.jpg",10,yes
"Соусы","Sosevi","Sauces","Сливочно-чесночный соус","Kremasti sos sa belim lukom","Creamy garlic sauce","Сливочный соус с чесноком.","Kremasti sos sa belim lukom.","Creamy sauce with garlic.",140,,,"/media/menu/kremasti-sos-sa-belim-lukom.jpg",20,yes
"Супы","Supe","Soups","Лобио без мяса","Lobio bez mesa","Meatless lobio","Фасолевый суп без мяса.","Lobio bez mesa.","Meatless bean soup.",350,,,"/media/menu/lobio-bez-mesa.jpg",10,yes
"Супы","Supe","Soups","Харчо","Harčo","Kharcho","Густой бульон, мягкая говядина, специи и много зелени. Вкус насыщенный, порция сытная.","Gust bujon, mekana govedina, začini i mnogo zelenila. Bogat ukus i zasitna porcija.","Rich broth, tender beef, spices and plenty of herbs. Full-flavored and filling.",700,,,"/media/menu/kharcho.jpg",20,yes
"Салаты и закуски","Salate i predjela","Salads and appetizers","Салат «Тбилиси»","Salata „tbilisi”","Tbilisi salad","Говядина, фасоль, красная паприка, лук, грецкий орех, чеснок, зелень.","Govedina, pasulj, crvena paprika, luk, orah, beli luk, zelenilo.","Beef, beans, red pepper, onion, walnut, garlic and herbs.",1050,,"грецкий орех","/media/menu/salata-tbilisi.jpg",10,yes
"Салаты и закуски","Salate i predjela","Salads and appetizers","Грузинский салат","Gruzijska salata","Georgian salad","Помидор, огурец, лук, грецкий орех, масло.","Paradajz, krastavac, luk, orah, ulje.","Tomato, cucumber, onion, walnut and oil.",630,,"грецкий орех","/media/menu/gruzijska-salata.jpg",20,yes
